5
1000
Kraków,0,50.06835396394607,19.9440330916948
Białystok,500,53.1321003522936,23.168303572712947
Bielsko-Biała,50,49.80540744426564,19.05579816246941
Chrzanów,400,50.134474537802156,19.398192427817595
Gdańsk,200,54.37256547735844,18.623777381853735
Gdynia,100,54.52381045432751,18.51172083217754
Gliwice,40,50.29118914781811,18.671219651039902
Gromnik,200,49.8378202552782,20.96195423629714
Katowice,300,50.25773311928509,19.035992148086056
Kielce,30,50.865632803041485,20.628814616278376
Krosno,60,49.682198558407634,21.765661220534504
Krynica,50,49.421428083650596,20.95931413164279
Lublin,50,51.24586910634751,22.567275823696246
Łódź,160,51.75906799854293,19.453798701517833
Malbork,100,54.03560211260634,19.037285666387753
Nowy Targ,120,49.47755139275044,20.03156676253084
Olsztyn,300,53.778291358093455,20.480558664351374
Poznań,100,52.406342511599135,16.92404287751222
Puławy,200,51.416185106219984,21.971161831771095
Radom,100,51.40240674858944,21.147495996421405
Rzeszów,60,50.04201175345502,21.999504944386256
Sandomierz,200,50.682292211704585,21.750335235531214
Szczecin,150,53.428416231851784,14.552400399580305
Szczucin,60,50.309358120975546,21.074894422100936
Szklarska Poręba,50,50.82809799417874,15.52517480336706
Tarnów,70,50.01235981232834,20.985014481632366
Warszawa,200,52.229601025984486,21.01304239806023
Wieliczka,90,49.98705452367493,20.064306223857024
Wrocław,40,51.10778914939742,17.036104535056676
Zakopane,200,49.275918049029045,19.9712679861164
Zamość,300,50.72278381441436,23.25177534443028
